"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AC079296.1",2.36448024718401,-4.56728604064839,10.7379893289003,1.00302478113845e-22,2.82782186531785e-20,40.92238571554
"ACBD7",2.69255315216039,-0.35317651413382,10.6799424144642,1.56312323264287e-22,4.3556610636109e-20,40.4863633627469
"PTHLH",-3.43305972498702,6.2498175376129,-10.5524358654956,4.12818384358952e-22,1.09919775141977e-19,39.53202196671
"AC009501.2",2.56569589129967,-3.84332554844152,10.5056601019193,5.88794840388079e-22,1.50105101649574e-19,39.183126579611
"CD8B2",4.07849716910966,-3.2091385004364,10.4725173440875,7.56926253249429e-22,1.90936639293361e-19,38.9363163164516
"IL17REL",3.83037251084483,-2.7882516560633,10.408623246983,1.22731196339447e-21,3.00115345824338e-19,38.4614468214292
"AL358334.2",-2.40388468088133,0.64991112121693,-10.3770250575454,1.55797273920757e-21,3.70860332444967e-19,38.2270681979397
"MYO3A",5.08433420293825,-1.27635869120144,10.3743805842327,1.58936840337648e-21,3.71851976563424e-19,38.2074669102541
"IGF2BP2",-2.3409916298798,6.03666991534602,-10.3604090480968,1.76598625187273e-21,4.06923985960366e-19,38.1039435628806
"C3orf70",2.3294448170836,1.49004214494291,10.3483266393937,1.93437753236922e-21,4.29216881349037e-19,38.014466886914
"DLX1",-2.664298272702,1.13893629321866,-10.3198815329173,2.39653452185419e-21,5.26885809923979e-19,37.80399597178
"CA12",-2.41644366834385,7.67004615543016,-10.2905259992551,2.98874697133895e-21,6.51112112919696e-19,37.5870553969434
"AL049637.1",3.12151686795765,-4.27186499543414,10.2249296118017,4.8906736210125e-21,1.0191313274256e-18,37.1032797026501
"CHDH",2.8375755968745,0.424687939221994,10.1798378602876,6.85562567457541e-21,1.36906844721271e-18,36.7715273594295
"SLFN13",2.30928226894985,3.35431738762731,10.1344153035268,9.62751192824746e-21,1.84570956678818e-18,36.438008914392
"DMKN",-3.73340314551097,7.06129283001169,-10.1308998015831,9.88360158741039e-21,1.86496557827325e-18,36.4122242266725
"CDKN2A-DT",2.81690475064297,-3.78471309484409,10.1281936457935,1.00853367836783e-20,1.88816414596928e-18,36.3923785082696
"SLC35F3",-3.43837096448447,0.875149015641671,-10.1131181133097,1.12864256946854e-20,2.09665042904993e-18,36.2818654893369
"TENM2",-3.30751282600598,6.91708237664855,-10.1094018246135,1.16037268993872e-20,2.13901316474549e-18,36.2546342904485
"HMGN2P15",2.10555132204072,-3.04694191838863,10.0858770859919,1.38284638240292e-20,2.52965883266439e-18,36.0823620994039
"CT69",-3.61878459351222,0.70429592805024,-10.0405631432748,1.93768771180815e-20,3.46527972580378e-18,35.7510455057727
"LINC02091",2.54474202028274,-4.04844557869191,10.0236421893231,2.19744043555083e-20,3.90070093315112e-18,35.6275027223705
"KRTDAP",-5.66359250236837,5.63309868558418,-10.0121645404092,2.39305038473869e-20,4.12568772804877e-18,35.5437572674212
"TMEM158",-2.01950905455821,2.9692415322951,-10.0017222804803,2.58600338272751e-20,4.42649893312014e-18,35.4676050319337
"ZYG11A",3.51892014877255,-0.663086889564015,9.98726364950001,2.87894454093021e-20,4.85843150087231e-18,35.3622235209211
"FKBP6",2.14635001617815,-4.28930645932734,9.97031004708796,3.26468005003805e-20,5.43297171660499e-18,35.2387478133067
"LINC02454",-3.32852549606342,-1.38159408321201,-9.93623828707018,4.20201690733314e-20,6.89706391557065e-18,34.9908943563425
"KLK8",-4.11684721365967,2.81257867420815,-9.88577157597748,6.1024789807094e-20,9.49609131777403e-18,34.6245095455663
"DLX2",-2.97501885098692,0.292187451901056,-9.86869080170783,6.92256023040835e-20,1.07027247330004e-17,34.500704022587
"TLX3",4.62081455143137,-3.68355602163114,9.82474929536957,9.57063397208293e-20,1.43344170316872e-17,34.1826734648544
"KRT14",-4.02518970132982,12.599211410018,-9.78736720986315,1.26004393044211e-19,1.85249648767575e-17,33.9126516711358
"AC092535.3",2.30544887806118,-4.48070326561457,9.76605720537906,1.47360540183422e-19,2.1532609664363e-17,33.758944742272
"HOXC13",-2.92174431472212,2.46335695399281,-9.71373651475209,2.16286507788421e-19,3.10364663032438e-17,33.3822485917897
"HMX2",3.29352554726936,-4.04573318487434,9.69183286703256,2.53904170517567e-19,3.60033109010827e-17,33.2248399456122
"RGS20",-2.61375622808294,2.59953884485536,-9.6694844684246,2.98983607160935e-19,4.21461362470861e-17,33.0644141475333
"HMSD",2.80899973086556,-1.06829073062172,9.6639044212781,3.11427675098075e-19,4.36435836611127e-17,33.0243866333345
"ZFPM2-AS1",-3.44952076656189,0.368899886348451,-9.65998846251648,3.20466528667856e-19,4.46491854243983e-17,32.9963029430801
"RANBP17",3.23869734142275,-1.05273534026616,9.62602875335315,4.10617171838938e-19,5.62287423197046e-17,32.7529924020711
"GOLGA7B",-3.17457713226977,3.87391282502971,-9.61281293888845,4.52150479575205e-19,6.12165767940126e-17,32.6584195650225
"B4GALNT3",-2.26195171629187,5.75563517118741,-9.57995788751981,5.74372645456678e-19,7.71758270225515e-17,32.423586684461
