"gene","module"
"ENSG00000243290.3","turquoise"
"ENSG00000241635.8","blue"
"ENSG00000084453.16","blue"
"ENSG00000250564.2","grey"
"ENSG00000211937.3","turquoise"
"ENSG00000258053.1","blue"
"ENSG00000272620.2","grey"
"ENSG00000211945.2","turquoise"
"ENSG00000231475.3","turquoise"
"ENSG00000244116.3","turquoise"
"ENSG00000211935.3","turquoise"
"ENSG00000287407.1","grey"
"ENSG00000211650.2","turquoise"
"ENSG00000134258.17","blue"
"ENSG00000211934.3","turquoise"
"ENSG00000244575.3","turquoise"
"ENSG00000134827.8","blue"
"ENSG00000176728.10","red"
"ENSG00000148053.17","blue"
"ENSG00000241244.1","turquoise"
"ENSG00000239855.1","turquoise"
"ENSG00000177551.5","grey"
"ENSG00000162949.16","blue"
"ENSG00000211962.2","turquoise"
"ENSG00000182676.5","green"
"ENSG00000259337.4","turquoise"
"ENSG00000211959.2","turquoise"
"ENSG00000211670.2","turquoise"
"ENSG00000211943.2","turquoise"
"ENSG00000215808.4","yellow"
"ENSG00000133101.10","grey"
"ENSG00000243238.1","turquoise"
"ENSG00000259680.5","turquoise"
"ENSG00000251546.1","turquoise"
"ENSG00000211640.4","turquoise"
"ENSG00000211660.3","turquoise"
"ENSG00000124701.5","green"
"ENSG00000167165.19","blue"
"ENSG00000156413.14","blue"
"ENSG00000211970.3","turquoise"
"ENSG00000211668.2","turquoise"
"ENSG00000163202.5","yellow"
"ENSG00000211964.3","turquoise"
"ENSG00000185962.1","yellow"
"ENSG00000111700.13","grey"
"ENSG00000211662.2","turquoise"
"ENSG00000225087.2","grey"
"ENSG00000257636.6","grey"
"ENSG00000211961.3","turquoise"
"ENSG00000198125.13","green"
"ENSG00000249550.7","turquoise"
"ENSG00000105131.8","blue"
"ENSG00000241351.3","turquoise"
"ENSG00000167080.9","grey"
"ENSG00000211599.2","turquoise"
"ENSG00000211664.3","turquoise"
"ENSG00000198692.10","red"
"ENSG00000188508.11","yellow"
"ENSG00000167754.13","yellow"
"ENSG00000240671.4","turquoise"
"ENSG00000211633.3","turquoise"
"ENSG00000211965.4","turquoise"
"ENSG00000145113.22","blue"
"ENSG00000230316.7","blue"
"ENSG00000124882.4","yellow"
"ENSG00000143520.6","yellow"
"ENSG00000178690.3","blue"
"ENSG00000196811.13","green"
"ENSG00000272163.1","grey"
"ENSG00000075673.12","grey"
"ENSG00000211598.2","turquoise"
"ENSG00000242534.2","turquoise"
"ENSG00000248713.1","green"
"ENSG00000211632.4","turquoise"
"ENSG00000172399.6","green"
"ENSG00000183878.15","red"
"ENSG00000184012.13","blue"
"ENSG00000139988.10","yellow"
"ENSG00000286797.1","grey"
"ENSG00000211946.3","turquoise"
"ENSG00000127249.15","blue"
"ENSG00000178597.7","yellow"
"ENSG00000154620.6","red"
"ENSG00000211955.2","turquoise"
"ENSG00000241294.1","turquoise"
"ENSG00000278196.3","turquoise"
"ENSG00000215853.3","yellow"
"ENSG00000240382.3","turquoise"
"ENSG00000271375.1","turquoise"
"ENSG00000287987.1","yellow"
"ENSG00000095777.17","yellow"
"ENSG00000172867.4","yellow"
"ENSG00000248268.1","grey"
"ENSG00000224041.3","turquoise"
"ENSG00000161896.12","green"
"ENSG00000211663.2","turquoise"
"ENSG00000196581.11","yellow"
"ENSG00000018625.15","green"
"ENSG00000171587.15","blue"
"ENSG00000016082.15","grey"
"ENSG00000259490.2","turquoise"
"ENSG00000099725.14","red"
"ENSG00000090512.12","grey"
"ENSG00000114374.13","red"
"ENSG00000243063.1","turquoise"
"ENSG00000277282.1","turquoise"
"ENSG00000187054.16","blue"
"ENSG00000112238.12","blue"
"ENSG00000211659.2","turquoise"
"ENSG00000185966.4","yellow"
"ENSG00000184459.8","yellow"
"ENSG00000134121.10","blue"
"ENSG00000173641.18","green"
"ENSG00000183091.19","green"
"ENSG00000242076.2","turquoise"
"ENSG00000124134.9","grey"
"ENSG00000211685.3","turquoise"
"ENSG00000243236.6","blue"
"ENSG00000265933.5","grey"
"ENSG00000188624.3","turquoise"
"ENSG00000171243.8","blue"
"ENSG00000240386.3","yellow"
"ENSG00000156885.6","green"
"ENSG00000186867.11","blue"
"ENSG00000142178.9","grey"
"ENSG00000168334.9","green"
"ENSG00000270372.1","grey"
"ENSG00000254851.1","grey"
"ENSG00000172551.11","yellow"
"ENSG00000227877.7","yellow"
"ENSG00000206072.13","blue"
"ENSG00000211673.2","turquoise"
"ENSG00000186474.15","yellow"
"ENSG00000225146.1","grey"
"ENSG00000183778.17","turquoise"
"ENSG00000102683.8","green"
"ENSG00000165553.4","grey"
"ENSG00000131002.12","red"
"ENSG00000229035.2","yellow"
"ENSG00000211947.2","turquoise"
"ENSG00000206073.11","yellow"
"ENSG00000161798.7","blue"
"ENSG00000275874.1","grey"
"ENSG00000243137.8","yellow"
"ENSG00000239819.2","turquoise"
"ENSG00000173157.17","grey"
"ENSG00000239975.2","turquoise"
"ENSG00000211665.3","turquoise"
"ENSG00000121207.12","grey"
"ENSG00000089250.19","grey"
"ENSG00000224650.2","turquoise"
"ENSG00000134765.10","yellow"
"ENSG00000272763.1","grey"
"ENSG00000172782.12","grey"
"ENSG00000231535.7","red"
"ENSG00000232216.1","turquoise"
"ENSG00000096006.12","blue"
"ENSG00000102837.7","grey"
"ENSG00000143556.9","yellow"
"ENSG00000130598.16","green"
"ENSG00000115488.3","yellow"
"ENSG00000115592.11","green"
"ENSG00000169509.6","yellow"
"ENSG00000166869.3","grey"
"ENSG00000211942.3","turquoise"
"ENSG00000211952.3","turquoise"
"ENSG00000130433.7","green"
"ENSG00000166317.12","green"
"ENSG00000007314.12","green"
"ENSG00000225698.3","turquoise"
"ENSG00000170323.9","yellow"
"ENSG00000278857.1","turquoise"
"ENSG00000211652.2","turquoise"
"ENSG00000258732.1","yellow"
"ENSG00000211648.2","turquoise"
"ENSG00000211938.2","turquoise"
"ENSG00000204179.10","grey"
"ENSG00000215182.8","blue"
"ENSG00000211956.2","turquoise"
"ENSG00000182585.10","yellow"
"ENSG00000185247.15","grey"
"ENSG00000253818.1","turquoise"
"ENSG00000163394.6","turquoise"
"ENSG00000224607.4","turquoise"
"ENSG00000007372.24","yellow"
"ENSG00000127325.19","green"
"ENSG00000214263.2","grey"
"ENSG00000267313.7","blue"
"ENSG00000242580.1","turquoise"
"ENSG00000147889.18","grey"
"ENSG00000239571.1","turquoise"
"ENSG00000223648.4","turquoise"
"ENSG00000270550.1","turquoise"
"ENSG00000286733.1","grey"
"ENSG00000254174.1","turquoise"
"ENSG00000242887.1","turquoise"
"ENSG00000135374.11","grey"
"ENSG00000170465.10","yellow"
"ENSG00000231683.6","grey"
"ENSG00000197953.6","grey"
"ENSG00000203786.6","yellow"
"ENSG00000126233.2","yellow"
"ENSG00000197616.13","green"
"ENSG00000203785.9","yellow"
"ENSG00000184148.4","yellow"
"ENSG00000188403.7","turquoise"
"ENSG00000271079.1","grey"
"ENSG00000170549.4","grey"
"ENSG00000244617.2","yellow"
"ENSG00000211625.2","turquoise"
"ENSG00000182261.4","yellow"
"ENSG00000211649.3","turquoise"
"ENSG00000203782.6","yellow"
"ENSG00000197476.3","turquoise"
"ENSG00000137745.12","brown"
"ENSG00000174469.23","grey"
"ENSG00000129514.8","blue"
"ENSG00000286403.1","turquoise"
"ENSG00000224373.3","turquoise"
"ENSG00000158786.5","yellow"
"ENSG00000142973.14","blue"
"ENSG00000185742.7","brown"
"ENSG00000286009.2","red"
"ENSG00000211979.2","turquoise"
"ENSG00000254395.1","turquoise"
"ENSG00000171954.13","yellow"
"ENSG00000283906.1","turquoise"
"ENSG00000165238.16","blue"
"ENSG00000211653.2","turquoise"
"ENSG00000124102.5","yellow"
"ENSG00000170423.13","yellow"
"ENSG00000211666.2","turquoise"
"ENSG00000253883.1","turquoise"
"ENSG00000248740.6","grey"
"ENSG00000211651.3","turquoise"
"ENSG00000275011.1","yellow"
"ENSG00000242265.6","brown"
"ENSG00000133063.16","turquoise"
"ENSG00000170454.6","yellow"
"ENSG00000211933.2","turquoise"
"ENSG00000288611.1","grey"
"ENSG00000180318.4","yellow"
"ENSG00000164796.18","grey"
"ENSG00000162344.4","grey"
"ENSG00000231331.1","turquoise"
"ENSG00000232756.1","blue"
"ENSG00000180176.15","yellow"
"ENSG00000179477.11","yellow"
"ENSG00000182545.6","grey"
"ENSG00000239951.1","turquoise"
"ENSG00000101938.15","turquoise"
"ENSG00000240086.7","grey"
"ENSG00000242207.1","grey"
"ENSG00000211900.2","turquoise"
"ENSG00000112246.10","green"
"ENSG00000211904.2","turquoise"
"ENSG00000211949.3","turquoise"
"ENSG00000258763.5","grey"
"ENSG00000165194.15","brown"
"ENSG00000255501.3","yellow"
"ENSG00000176153.12","turquoise"
"ENSG00000286619.1","grey"
"ENSG00000148704.13","grey"
"ENSG00000167759.13","yellow"
"ENSG00000226145.7","yellow"
"ENSG00000282600.2","turquoise"
"ENSG00000117215.15","turquoise"
"ENSG00000253763.1","turquoise"
"ENSG00000233589.1","grey"
"ENSG00000286342.1","yellow"
"ENSG00000211644.3","turquoise"
"ENSG00000253998.3","turquoise"
"ENSG00000128610.12","blue"
"ENSG00000259672.3","grey"
"ENSG00000188257.12","turquoise"
"ENSG00000139144.11","grey"
"ENSG00000204710.2","turquoise"
"ENSG00000273706.5","blue"
"ENSG00000101210.13","green"
"ENSG00000167769.5","yellow"
"ENSG00000211899.10","turquoise"
"ENSG00000110203.9","turquoise"
"ENSG00000211896.7","turquoise"
"ENSG00000241566.1","turquoise"
"ENSG00000271996.1","grey"
"ENSG00000233928.6","blue"
