"gene_symbol","rho_hpv_pos","rho_hpv_neg"
"SYCP2",-0.696846524872213,-0.180884429150635
"DDX25",-0.749109734922755,-0.142874004293813
"MEI1",-0.659743063903799,-0.386148055070515
"MSX2",-0.658271562482339,-0.493062190191029
"SLC35F3",-0.418229095332254,-0.362202068024543
"CCNA1",-0.531733296922126,-0.562038423279185
"POU4F1",-0.34532263789156,-0.782910205879627
"WNK2",-0.166194736215667,-0.529828510903152
"INA",-0.780666910304094,-0.652500349489828
"NEFL",-0.715579957051186,-0.482484777840567
